"Year","Canton","Sex","Age","Acquisition of Swiss citizenship"
"2011","Bern / Berne","Male","90 years",0
"2011","Bern / Berne","Male","91 years",0
"2011","Bern / Berne","Male","92 years",0
"2011","Bern / Berne","Male","93 years",0
"2011","Bern / Berne","Male","94 years",0
"2011","Bern / Berne","Male","95 years",0
"2011","Bern / Berne","Male","96 years",0
"2011","Bern / Berne","Male","97 years",0
"2011","Bern / Berne","Male","98 years",0
"2011","Bern / Berne","Male","99 years",0
"2011","Bern / Berne","Male","100 years or older",0
"2011","Bern / Berne","Female","0 years",6
"2011","Bern / Berne","Female","1 year",17
"2011","Bern / Berne","Female","2 years",16
"2011","Bern / Berne","Female","3 years",19
"2011","Bern / Berne","Female","4 years",15
"2011","Bern / Berne","Female","5 years",17
"2011","Bern / Berne","Female","6 years",17
"2011","Bern / Berne","Female","7 years",22
"2011","Bern / Berne","Female","8 years",21
"2011","Bern / Berne","Female","9 years",17
"2011","Bern / Berne","Female","10 years",23
"2011","Bern / Berne","Female","11 years",18
"2011","Bern / Berne","Female","12 years",30
"2011","Bern / Berne","Female","13 years",34
"2011","Bern / Berne","Female","14 years",44
"2011","Bern / Berne","Female","15 years",31
"2011","Bern / Berne","Female","16 years",40
"2011","Bern / Berne","Female","17 years",36
"2011","Bern / Berne","Female","18 years",45
"2011","Bern / Berne","Female","19 years",58
"2011","Bern / Berne","Female","20 years",33
"2011","Bern / Berne","Female","21 years",27
"2011","Bern / Berne","Female","22 years",11
"2011","Bern / Berne","Female","23 years",17
"2011","Bern / Berne","Female","24 years",20
"2011","Bern / Berne","Female","25 years",19
"2011","Bern / Berne","Female","26 years",26
"2011","Bern / Berne","Female","27 years",13
"2011","Bern / Berne","Female","28 years",24
"2011","Bern / Berne","Female","29 years",31
"2011","Bern / Berne","Female","30 years",29
"2011","Bern / Berne","Female","31 years",33
"2011","Bern / Berne","Female","32 years",32
"2011","Bern / Berne","Female","33 years",23
"2011","Bern / Berne","Female","34 years",30
"2011","Bern / Berne","Female","35 years",52
"2011","Bern / Berne","Female","36 years",39
"2011","Bern / Berne","Female","37 years",34
"2011","Bern / Berne","Female","38 years",40
"2011","Bern / Berne","Female","39 years",37
"2011","Bern / Berne","Female","40 years",29
"2011","Bern / Berne","Female","41 years",37
"2011","Bern / Berne","Female","42 years",36
"2011","Bern / Berne","Female","43 years",36
"2011","Bern / Berne","Female","44 years",37
"2011","Bern / Berne","Female","45 years",39
"2011","Bern / Berne","Female","46 years",27
"2011","Bern / Berne","Female","47 years",30
"2011","Bern / Berne","Female","48 years",33
"2011","Bern / Berne","Female","49 years",13
"2011","Bern / Berne","Female","50 years",18
"2011","Bern / Berne","Female","51 years",17
"2011","Bern / Berne","Female","52 years",13
"2011","Bern / Berne","Female","53 years",7
"2011","Bern / Berne","Female","54 years",19
"2011","Bern / Berne","Female","55 years",10
"2011","Bern / Berne","Female","56 years",4
"2011","Bern / Berne","Female","57 years",7
"2011","Bern / Berne","Female","58 years",6
"2011","Bern / Berne","Female","59 years",11
"2011","Bern / Berne","Female","60 years",11
"2011","Bern / Berne","Female","61 years",4
"2011","Bern / Berne","Female","62 years",2
"2011","Bern / Berne","Female","63 years",4
"2011","Bern / Berne","Female","64 years",4
"2011","Bern / Berne","Female","65 years",2
"2011","Bern / Berne","Female","66 years",2
"2011","Bern / Berne","Female","67 years",0
"2011","Bern / Berne","Female","68 years",1
"2011","Bern / Berne","Female","69 years",0
"2011","Bern / Berne","Female","70 years",3
"2011","Bern / Berne","Female","71 years",0
