Year,Canton,Education_1,Education_2,Education_3
2018,Jura,111696.0,171752.0,83297.0
2018,Luzern,430584.0,1019911.0,584898.0
2018,Neuchâtel,252216.0,380580.0,245209.0
2018,Nidwalden,44102.0,110704.0,65071.0
2018,Obwalden,46088.0,94321.0,48491.0
2018,Schaffhausen,91088.0,208962.0,114475.0
2018,Schwyz,171284.0,396763.0,231909.0
2018,Solothurn,308233.0,721514.0,351892.0
2018,St. Gallen,569843.0,1320606.0,645151.0
2018,Thurgau,298724.0,736610.0,349362.0
2018,Ticino,454805.0,809571.0,541092.0
2018,Uri,47916.0,92730.0,40077.0
2018,Valais / Wallis,505667.0,796157.0,423288.0
2018,Vaud,1016561.0,1533456.0,1364597.0
2018,Zug,104856.0,267295.0,259806.0
2018,Zürich,1393187.0,3294460.0,2882976.0
2019,Aargau,713944.0,1716751.0,1000598.0
2019,Appenzell Ausserrhoden,56286.0,139592.0,79564.0
2019,Appenzell Innerrhoden,19115.0,39980.0,19771.0
2019,Basel-Landschaft,291211.0,721699.0,448037.0
2019,Basel-Stadt,206891.0,368969.0,402077.0
2019,Bern / Berne,1006415.0,2655491.0,1551911.0
2019,CH,9342858.0,19669007.0,13783327.0
2019,Fribourg / Freiburg,454081.0,673134.0,448709.0
2019,Genève,597636.0,771642.0,965364.0
2019,Glarus,52168.0,107904.0,43384.0
2019,Graubünden / Grigioni / Grischun,210952.0,541737.0,267580.0
2019,Jura,107466.0,183513.0,77239.0
2019,Luzern,436184.0,1003699.0,612127.0
2019,Neuchâtel,246771.0,377307.0,254563.0
2019,Nidwalden,43076.0,106991.0,69404.0
2019,Obwalden,41290.0,101527.0,46942.0
2019,Schaffhausen,86376.0,217561.0,112133.0
2019,Schwyz,179977.0,385382.0,242087.0
2019,Solothurn,296964.0,732522.0,361099.0
2019,St. Gallen,570257.0,1304142.0,673931.0
2019,Thurgau,291317.0,743184.0,364154.0
2019,Ticino,441163.0,820349.0,537441.0
2019,Uri,48369.0,97267.0,36589.0
2019,Valais / Wallis,487744.0,806347.0,438667.0
2019,Vaud,1009253.0,1521093.0,1412575.0
2019,Zug,102390.0,271086.0,262794.0
2019,Zürich,1344674.0,3259907.0,3053165.0
2020,Aargau,721669.0,1530438.0,1222074.0
2020,Appenzell Ausserrhoden,52379.0,129237.0,93359.0
2020,Appenzell Innerrhoden,18188.0,37970.0,23470.0
2020,Basel-Landschaft,287245.0,645074.0,537401.0
2020,Basel-Stadt,198516.0,321775.0,457890.0
2020,Bern / Berne,990603.0,2412605.0,1832261.0
2020,CH,9093150.0,18430776.0,15602370.0
2020,Fribourg / Freiburg,427164.0,692874.0,476523.0
2020,Genève,574135.0,825816.0,937176.0
2020,Glarus,54057.0,87609.0,62804.0
2020,Graubünden / Grigioni / Grischun,214644.0,483503.0,329179.0
2020,Jura,98766.0,192034.0,78228.0
2020,Luzern,410904.0,926537.0,731268.0
2020,Neuchâtel,223096.0,400013.0,255449.0
2020,Nidwalden,36253.0,100324.0,85007.0
2020,Obwalden,36526.0,94950.0,58935.0
2020,Schaffhausen,80165.0,197147.0,142126.0
2020,Schwyz,170452.0,344639.0,302545.0
2020,Solothurn,304337.0,641435.0,456369.0
2020,St. Gallen,571475.0,1183324.0,811682.0
2020,Thurgau,281802.0,676095.0,456732.0
2020,Ticino,407665.0,845877.0,547364.0
2020,Uri,49064.0,82627.0,51676.0
2020,Valais / Wallis,455328.0,833899.0,461700.0
2020,Vaud,959099.0,1586670.0,1444676.0
2020,Zug,102901.0,235632.0,302993.0
2020,Zürich,1365832.0,2922365.0,3442493.0
2021,Aargau,710310.0,1581005.0,1226077.0
2021,Appenzell Ausserrhoden,54919.0,123102.0,97767.0
2021,Appenzell Innerrhoden,13996.0,36960.0,29262.0
2021,Basel-Landschaft,283691.0,639532.0,554123.0
2021,Basel-Stadt,191081.0,318097.0,477216.0
2021,Bern / Berne,966379.0,2421529.0,1866040.0
2021,CH,8979392.0,18493273.0,15988667.0
2021,Fribourg / Freiburg,413186.0,698501.0,505889.0
2021,Genève,575519.0,823621.0,947317.0
2021,Glarus,49754.0,102087.0,54163.0
2021,Graubünden / Grigioni / Grischun,211817.0,496331.0,324498.0
2021,Jura,104891.0,174756.0,90120.0
2021,Luzern,403087.0,923094.0,762934.0
2021,Neuchâtel,230369.0,386075.0,264221.0
2021,Nidwalden,39600.0,104955.0,79416.0
2021,Obwalden,39055.0,92556.0,60724.0
2021,Schaffhausen,83322.0,198570.0,141114.0
2021,Schwyz,162230.0,361885.0,301661.0
