"Education level","Sex","Year","Compulsory education"
"> Lower sec.: without differentation","Man","2006/07",21298
"> Lower sec.: without differentation","Man","2007/08",21517
"> Lower sec.: without differentation","Man","2008/09",21299
"> Lower sec.: without differentation","Man","2009/10",21146
"> Lower sec.: without differentation","Man","2010/11",24399
"> Lower sec.: without differentation","Man","2011/12",23664
"> Lower sec.: without differentation","Man","2012/13",23419
"> Lower sec.: without differentation","Man","2013/14",15799
"> Lower sec.: without differentation","Man","2014/15",15804
"> Lower sec.: without differentation","Man","2015/16",10354
"> Lower sec.: without differentation","Man","2016/17",10591
"> Lower sec.: without differentation","Man","2017/18",18412
"> Lower sec.: without differentation","Man","2018/19",18447
"> Lower sec.: without differentation","Man","2019/20",18164
"> Lower sec.: without differentation","Man","2020/21",18004
"> Lower sec.: without differentation","Man","2021/22",18446
"> Lower sec.: without differentation","Man","2022/23",19719
"> Lower sec.: without differentation","Woman","1999/00",20243
"> Lower sec.: without differentation","Woman","2000/01",20191
"> Lower sec.: without differentation","Woman","2001/02",22832
"> Lower sec.: without differentation","Woman","2002/03",21693
"> Lower sec.: without differentation","Woman","2003/04",21745
"> Lower sec.: without differentation","Woman","2004/05",21511
"> Lower sec.: without differentation","Woman","2005/06",20613
"> Lower sec.: without differentation","Woman","2006/07",20289
"> Lower sec.: without differentation","Woman","2007/08",20238
"> Lower sec.: without differentation","Woman","2008/09",20224
"> Lower sec.: without differentation","Woman","2009/10",20056
"> Lower sec.: without differentation","Woman","2010/11",23184
"> Lower sec.: without differentation","Woman","2011/12",22534
"> Lower sec.: without differentation","Woman","2012/13",22149
"> Lower sec.: without differentation","Woman","2013/14",14328
"> Lower sec.: without differentation","Woman","2014/15",14260
"> Lower sec.: without differentation","Woman","2015/16",9325
"> Lower sec.: without differentation","Woman","2016/17",9581
"> Lower sec.: without differentation","Woman","2017/18",14220
"> Lower sec.: without differentation","Woman","2018/19",14063
"> Lower sec.: without differentation","Woman","2019/20",14012
"> Lower sec.: without differentation","Woman","2020/21",13773
"> Lower sec.: without differentation","Woman","2021/22",14202
"> Lower sec.: without differentation","Woman","2022/23",15455
"Separate education","Man","1999/00",29933
"Separate education","Man","2000/01",30052
"Separate education","Man","2001/02",30459
"Separate education","Man","2002/03",30889
"Separate education","Man","2003/04",31271
"Separate education","Man","2004/05",31202
"Separate education","Man","2005/06",30231
"Separate education","Man","2006/07",28906
"Separate education","Man","2007/08",27880
"Separate education","Man","2008/09",26317
"Separate education","Man","2009/10",24649
"Separate education","Man","2010/11",23787
"Separate education","Man","2011/12",23107
"Separate education","Man","2012/13",22511
"Separate education","Man","2013/14",21919
"Separate education","Man","2014/15",20549
"Separate education","Man","2015/16",20223
"Separate education","Man","2016/17",20470
"Separate education","Man","2017/18",0
"Separate education","Man","2018/19",0
"Separate education","Man","2019/20",0
"Separate education","Man","2020/21",0
"Separate education","Man","2021/22",0
"Separate education","Man","2022/23",0
"Separate education","Woman","1999/00",18501
"Separate education","Woman","2000/01",18290
"Separate education","Woman","2001/02",18444
"Separate education","Woman","2002/03",18809
"Separate education","Woman","2003/04",18926
"Separate education","Woman","2004/05",18921
"Separate education","Woman","2005/06",18244
"Separate education","Woman","2006/07",17213
"Separate education","Woman","2007/08",16391
"Separate education","Woman","2008/09",15132
"Separate education","Woman","2009/10",14113
"Separate education","Woman","2010/11",13656
"Separate education","Woman","2011/12",13023
"Separate education","Woman","2012/13",12781
"Separate education","Woman","2013/14",12130
"Separate education","Woman","2014/15",11158
"Separate education","Woman","2015/16",10928
"Separate education","Woman","2016/17",10910
"Separate education","Woman","2017/18",0
"Separate education","Woman","2018/19",0
"Separate education","Woman","2019/20",0
"Separate education","Woman","2020/21",0
"Separate education","Woman","2021/22",0
"Separate education","Woman","2022/23",0
