Year,Canton,Age Group,Net Migration
2012,Fribourg / Freiburg,0-9,455
2012,Fribourg / Freiburg,10-19,439
2012,Fribourg / Freiburg,20-29,918
2012,Fribourg / Freiburg,30-39,986
2012,Fribourg / Freiburg,40-49,561
2012,Fribourg / Freiburg,50-59,117
2012,Fribourg / Freiburg,60-69,-6
2012,Fribourg / Freiburg,70-79,-5
2012,Fribourg / Freiburg,80-89,1
2012,Fribourg / Freiburg,90-99,-5
2012,Fribourg / Freiburg,100-109,-1
2012,Genève,0-9,142
2012,Genève,10-19,387
2012,Genève,20-29,2670
2012,Genève,30-39,1516
2012,Genève,40-49,346
2012,Genève,50-59,-53
2012,Genève,60-69,-374
2012,Genève,70-79,-17
2012,Genève,80-89,-16
2012,Genève,90-99,-2
2012,Genève,100-109,-1
2012,Glarus,0-9,14
2012,Glarus,10-19,36
2012,Glarus,20-29,73
2012,Glarus,30-39,97
2012,Glarus,40-49,55
2012,Glarus,50-59,5
2012,Glarus,60-69,-12
2012,Glarus,70-79,-4
2012,Glarus,80-89,0
2012,Glarus,90-99,0
2012,Glarus,100-109,0
2012,Graubünden / Grigioni / Grischun,0-9,86
2012,Graubünden / Grigioni / Grischun,10-19,140
2012,Graubünden / Grigioni / Grischun,20-29,820
2012,Graubünden / Grigioni / Grischun,30-39,545
2012,Graubünden / Grigioni / Grischun,40-49,307
2012,Graubünden / Grigioni / Grischun,50-59,103
2012,Graubünden / Grigioni / Grischun,60-69,-96
2012,Graubünden / Grigioni / Grischun,70-79,2
2012,Graubünden / Grigioni / Grischun,80-89,1
2012,Graubünden / Grigioni / Grischun,90-99,-7
2012,Graubünden / Grigioni / Grischun,100-109,0
2012,Jura,0-9,61
2012,Jura,10-19,57
2012,Jura,20-29,141
2012,Jura,30-39,117
2012,Jura,40-49,53
2012,Jura,50-59,29
2012,Jura,60-69,-8
2012,Jura,70-79,6
2012,Jura,80-89,-5
2012,Jura,90-99,-7
2012,Jura,100-109,0
2012,Luzern,0-9,185
2012,Luzern,10-19,366
2012,Luzern,20-29,833
2012,Luzern,30-39,579
2012,Luzern,40-49,330
2012,Luzern,50-59,57
2012,Luzern,60-69,-103
2012,Luzern,70-79,-11
2012,Luzern,80-89,-15
2012,Luzern,90-99,-6
2012,Luzern,100-109,0
2012,Neuchâtel,0-9,117
2012,Neuchâtel,10-19,252
2012,Neuchâtel,20-29,555
2012,Neuchâtel,30-39,409
2012,Neuchâtel,40-49,253
2012,Neuchâtel,50-59,43
2012,Neuchâtel,60-69,-99
2012,Neuchâtel,70-79,-11
2012,Neuchâtel,80-89,-8
2012,Neuchâtel,90-99,-5
2012,Neuchâtel,100-109,0
2012,Nidwalden,0-9,32
2012,Nidwalden,10-19,14
2012,Nidwalden,20-29,87
