"Year","Canton","Sex","Age","Emigration of the permanent resident population"
"2011","Bern / Berne","Female","51 years",39
"2011","Bern / Berne","Female","52 years",31
"2011","Bern / Berne","Female","53 years",24
"2011","Bern / Berne","Female","54 years",25
"2011","Bern / Berne","Female","55 years",28
"2011","Bern / Berne","Female","56 years",35
"2011","Bern / Berne","Female","57 years",28
"2011","Bern / Berne","Female","58 years",33
"2011","Bern / Berne","Female","59 years",23
"2011","Bern / Berne","Female","60 years",29
"2011","Bern / Berne","Female","61 years",27
"2011","Bern / Berne","Female","62 years",24
"2011","Bern / Berne","Female","63 years",30
"2011","Bern / Berne","Female","64 years",21
"2011","Bern / Berne","Female","65 years",25
"2011","Bern / Berne","Female","66 years",8
"2011","Bern / Berne","Female","67 years",11
"2011","Bern / Berne","Female","68 years",12
"2011","Bern / Berne","Female","69 years",7
"2011","Bern / Berne","Female","70 years",10
"2011","Bern / Berne","Female","71 years",13
"2011","Bern / Berne","Female","72 years",5
"2011","Bern / Berne","Female","73 years",6
"2011","Bern / Berne","Female","74 years",1
"2011","Bern / Berne","Female","75 years",2
"2011","Bern / Berne","Female","76 years",2
"2011","Bern / Berne","Female","77 years",2
"2011","Bern / Berne","Female","78 years",2
"2011","Bern / Berne","Female","79 years",1
"2011","Bern / Berne","Female","80 years",4
"2011","Bern / Berne","Female","81 years",5
"2011","Bern / Berne","Female","82 years",2
"2011","Bern / Berne","Female","83 years",1
"2011","Bern / Berne","Female","84 years",2
"2011","Bern / Berne","Female","85 years",2
"2011","Bern / Berne","Female","86 years",1
"2011","Bern / Berne","Female","87 years",5
"2011","Bern / Berne","Female","88 years",2
"2011","Bern / Berne","Female","89 years",2
"2011","Bern / Berne","Female","90 years",0
"2011","Bern / Berne","Female","91 years",1
"2011","Bern / Berne","Female","92 years",0
"2011","Bern / Berne","Female","93 years",0
"2011","Bern / Berne","Female","94 years",0
"2011","Bern / Berne","Female","95 years",0
"2011","Bern / Berne","Female","96 years",0
"2011","Bern / Berne","Female","97 years",0
"2011","Bern / Berne","Female","98 years",0
"2011","Bern / Berne","Female","99 years",1
"2011","Bern / Berne","Female","100 years or older",0
"2011","Luzern","Male","0 years",8
"2011","Luzern","Male","1 year",14
"2011","Luzern","Male","2 years",22
"2011","Luzern","Male","3 years",11
"2011","Luzern","Male","4 years",15
"2011","Luzern","Male","5 years",11
"2011","Luzern","Male","6 years",11
"2011","Luzern","Male","7 years",14
"2011","Luzern","Male","8 years",9
"2011","Luzern","Male","9 years",9
"2011","Luzern","Male","10 years",11
"2011","Luzern","Male","11 years",6
"2011","Luzern","Male","12 years",2
"2011","Luzern","Male","13 years",5
"2011","Luzern","Male","14 years",4
"2011","Luzern","Male","15 years",5
"2011","Luzern","Male","16 years",2
"2011","Luzern","Male","17 years",7
"2011","Luzern","Male","18 years",34
"2011","Luzern","Male","19 years",31
"2011","Luzern","Male","20 years",60
"2011","Luzern","Male","21 years",72
"2011","Luzern","Male","22 years",92
"2011","Luzern","Male","23 years",85
"2011","Luzern","Male","24 years",98
"2011","Luzern","Male","25 years",89
"2011","Luzern","Male","26 years",69
"2011","Luzern","Male","27 years",66
"2011","Luzern","Male","28 years",70
"2011","Luzern","Male","29 years",62
"2011","Luzern","Male","30 years",55
"2011","Luzern","Male","31 years",60
"2011","Luzern","Male","32 years",36
"2011","Luzern","Male","33 years",50
"2011","Luzern","Male","34 years",33
"2011","Luzern","Male","35 years",31
"2011","Luzern","Male","36 years",28
"2011","Luzern","Male","37 years",26
"2011","Luzern","Male","38 years",30
"2011","Luzern","Male","39 years",34
"2011","Luzern","Male","40 years",30
"2011","Luzern","Male","41 years",29
"2011","Luzern","Male","42 years",29
"2011","Luzern","Male","43 years",29
"2011","Luzern","Male","44 years",38
"2011","Luzern","Male","45 years",17
"2011","Luzern","Male","46 years",26
"2011","Luzern","Male","47 years",30
"2011","Luzern","Male","48 years",22
"2011","Luzern","Male","49 years",19
"2011","Luzern","Male","50 years",27
"2011","Luzern","Male","51 years",14
"2011","Luzern","Male","52 years",14
"2011","Luzern","Male","53 years",20
"2011","Luzern","Male","54 years",13
"2011","Luzern","Male","55 years",7
"2011","Luzern","Male","56 years",19
"2011","Luzern","Male","57 years",19
"2011","Luzern","Male","58 years",14
"2011","Luzern","Male","59 years",15
"2011","Luzern","Male","60 years",22
"2011","Luzern","Male","61 years",17
"2011","Luzern","Male","62 years",16
"2011","Luzern","Male","63 years",13
"2011","Luzern","Male","64 years",12
"2011","Luzern","Male","65 years",14
"2011","Luzern","Male","66 years",9
"2011","Luzern","Male","67 years",4
"2011","Luzern","Male","68 years",11
"2011","Luzern","Male","69 years",3
"2011","Luzern","Male","70 years",5
"2011","Luzern","Male","71 years",6
"2011","Luzern","Male","72 years",4
"2011","Luzern","Male","73 years",4
"2011","Luzern","Male","74 years",3
"2011","Luzern","Male","75 years",5
"2011","Luzern","Male","76 years",0
"2011","Luzern","Male","77 years",1
"2011","Luzern","Male","78 years",3
"2011","Luzern","Male","79 years",1
"2011","Luzern","Male","80 years",1
"2011","Luzern","Male","81 years",0
"2011","Luzern","Male","82 years",1
"2011","Luzern","Male","83 years",1
"2011","Luzern","Male","84 years",0
"2011","Luzern","Male","85 years",2
"2011","Luzern","Male","86 years",1
"2011","Luzern","Male","87 years",1
"2011","Luzern","Male","88 years",0
"2011","Luzern","Male","89 years",0
"2011","Luzern","Male","90 years",0
"2011","Luzern","Male","91 years",0
"2011","Luzern","Male","92 years",0
"2011","Luzern","Male","93 years",0
"2011","Luzern","Male","94 years",1
"2011","Luzern","Male","95 years",0
"2011","Luzern","Male","96 years",0
"2011","Luzern","Male","97 years",0
"2011","Luzern","Male","98 years",0
"2011","Luzern","Male","99 years",0
"2011","Luzern","Male","100 years or older",0
"2011","Luzern","Female","0 years",13
"2011","Luzern","Female","1 year",21
"2011","Luzern","Female","2 years",13
"2011","Luzern","Female","3 years",11
"2011","Luzern","Female","4 years",19
"2011","Luzern","Female","5 years",15
"2011","Luzern","Female","6 years",9
"2011","Luzern","Female","7 years",7
"2011","Luzern","Female","8 years",4
"2011","Luzern","Female","9 years",13
"2011","Luzern","Female","10 years",4
"2011","Luzern","Female","11 years",6
"2011","Luzern","Female","12 years",8
"2011","Luzern","Female","13 years",6
"2011","Luzern","Female","14 years",7
"2011","Luzern","Female","15 years",3
"2011","Luzern","Female","16 years",4
"2011","Luzern","Female","17 years",9
"2011","Luzern","Female","18 years",20
"2011","Luzern","Female","19 years",43
"2011","Luzern","Female","20 years",55
"2011","Luzern","Female","21 years",70
"2011","Luzern","Female","22 years",109
"2011","Luzern","Female","23 years",115
"2011","Luzern","Female","24 years",92
"2011","Luzern","Female","25 years",68
"2011","Luzern","Female","26 years",63
"2011","Luzern","Female","27 years",62
"2011","Luzern","Female","28 years",50
"2011","Luzern","Female","29 years",47
"2011","Luzern","Female","30 years",50
"2011","Luzern","Female","31 years",31
"2011","Luzern","Female","32 years",45
"2011","Luzern","Female","33 years",34
"2011","Luzern","Female","34 years",33
"2011","Luzern","Female","35 years",29
"2011","Luzern","Female","36 years",26
"2011","Luzern","Female","37 years",24
"2011","Luzern","Female","38 years",18
"2011","Luzern","Female","39 years",18
"2011","Luzern","Female","40 years",23
"2011","Luzern","Female","41 years",17
"2011","Luzern","Female","42 years",15
"2011","Luzern","Female","43 years",13
"2011","Luzern","Female","44 years",13
"2011","Luzern","Female","45 years",15
"2011","Luzern","Female","46 years",16
"2011","Luzern","Female","47 years",13
"2011","Luzern","Female","48 years",12
"2011","Luzern","Female","49 years",20
"2011","Luzern","Female","50 years",13
"2011","Luzern","Female","51 years",10
"2011","Luzern","Female","52 years",7
"2011","Luzern","Female","53 years",11
"2011","Luzern","Female","54 years",13
"2011","Luzern","Female","55 years",9
"2011","Luzern","Female","56 years",10
"2011","Luzern","Female","57 years",5
"2011","Luzern","Female","58 years",10
"2011","Luzern","Female","59 years",12
"2011","Luzern","Female","60 years",10
"2011","Luzern","Female","61 years",6
"2011","Luzern","Female","62 years",6
"2011","Luzern","Female","63 years",4
"2011","Luzern","Female","64 years",8
"2011","Luzern","Female","65 years",7
"2011","Luzern","Female","66 years",6
"2011","Luzern","Female","67 years",4
"2011","Luzern","Female","68 years",6
"2011","Luzern","Female","69 years",2
"2011","Luzern","Female","70 years",2
"2011","Luzern","Female","71 years",3
"2011","Luzern","Female","72 years",2
"2011","Luzern","Female","73 years",2
"2011","Luzern","Female","74 years",6
"2011","Luzern","Female","75 years",1
"2011","Luzern","Female","76 years",3
"2011","Luzern","Female","77 years",1
"2011","Luzern","Female","78 years",1
"2011","Luzern","Female","79 years",1
"2011","Luzern","Female","80 years",1
"2011","Luzern","Female","81 years",3
"2011","Luzern","Female","82 years",1
"2011","Luzern","Female","83 years",0
"2011","Luzern","Female","84 years",1
"2011","Luzern","Female","85 years",3
"2011","Luzern","Female","86 years",0
"2011","Luzern","Female","87 years",0
"2011","Luzern","Female","88 years",1
"2011","Luzern","Female","89 years",1
"2011","Luzern","Female","90 years",0
"2011","Luzern","Female","91 years",0
"2011","Luzern","Female","92 years",0
"2011","Luzern","Female","93 years",0
"2011","Luzern","Female","94 years",0
"2011","Luzern","Female","95 years",0
"2011","Luzern","Female","96 years",0
"2011","Luzern","Female","97 years",0
"2011","Luzern","Female","98 years",0
"2011","Luzern","Female","99 years",0
"2011","Luzern","Female","100 years or older",0
"2011","Uri","Male","0 years",0
"2011","Uri","Male","1 year",0
"2011","Uri","Male","2 years",1
"2011","Uri","Male","3 years",0
"2011","Uri","Male","4 years",1
"2011","Uri","Male","5 years",3
"2011","Uri","Male","6 years",3
"2011","Uri","Male","7 years",1
"2011","Uri","Male","8 years",0
"2011","Uri","Male","9 years",2
"2011","Uri","Male","10 years",0
"2011","Uri","Male","11 years",0
"2011","Uri","Male","12 years",0
"2011","Uri","Male","13 years",0
"2011","Uri","Male","14 years",0
"2011","Uri","Male","15 years",0
"2011","Uri","Male","16 years",0
"2011","Uri","Male","17 years",0
"2011","Uri","Male","18 years",1
"2011","Uri","Male","19 years",0
"2011","Uri","Male","20 years",2
"2011","Uri","Male","21 years",1
"2011","Uri","Male","22 years",3
"2011","Uri","Male","23 years",4
"2011","Uri","Male","24 years",2
"2011","Uri","Male","25 years",1
"2011","Uri","Male","26 years",2
"2011","Uri","Male","27 years",1
"2011","Uri","Male","28 years",3
"2011","Uri","Male","29 years",2
"2011","Uri","Male","30 years",5
"2011","Uri","Male","31 years",2
"2011","Uri","Male","32 years",1
"2011","Uri","Male","33 years",2
"2011","Uri","Male","34 years",2
"2011","Uri","Male","35 years",2
"2011","Uri","Male","36 years",1
"2011","Uri","Male","37 years",3
"2011","Uri","Male","38 years",2
"2011","Uri","Male","39 years",0
"2011","Uri","Male","40 years",2
"2011","Uri","Male","41 years",1
"2011","Uri","Male","42 years",0
"2011","Uri","Male","43 years",1
"2011","Uri","Male","44 years",4
"2011","Uri","Male","45 years",3
"2011","Uri","Male","46 years",1
"2011","Uri","Male","47 years",3
"2011","Uri","Male","48 years",4
"2011","Uri","Male","49 years",2
"2011","Uri","Male","50 years",1
"2011","Uri","Male","51 years",3
"2011","Uri","Male","52 years",1
"2011","Uri","Male","53 years",2
"2011","Uri","Male","54 years",0
"2011","Uri","Male","55 years",0
"2011","Uri","Male","56 years",2
"2011","Uri","Male","57 years",0
"2011","Uri","Male","58 years",0
"2011","Uri","Male","59 years",0
"2011","Uri","Male","60 years",1
"2011","Uri","Male","61 years",0
"2011","Uri","Male","62 years",1
"2011","Uri","Male","63 years",0
"2011","Uri","Male","64 years",3
"2011","Uri","Male","65 years",0
"2011","Uri","Male","66 years",0
"2011","Uri","Male","67 years",0
"2011","Uri","Male","68 years",1
"2011","Uri","Male","69 years",0
"2011","Uri","Male","70 years",0
"2011","Uri","Male","71 years",0
"2011","Uri","Male","72 years",0
"2011","Uri","Male","73 years",0
"2011","Uri","Male","74 years",0
"2011","Uri","Male","75 years",0
"2011","Uri","Male","76 years",0
"2011","Uri","Male","77 years",0
"2011","Uri","Male","78 years",2
"2011","Uri","Male","79 years",0
"2011","Uri","Male","80 years",0
"2011","Uri","Male","81 years",0
"2011","Uri","Male","82 years",0
"2011","Uri","Male","83 years",0
"2011","Uri","Male","84 years",0
"2011","Uri","Male","85 years",0
"2011","Uri","Male","86 years",1
"2011","Uri","Male","87 years",0
"2011","Uri","Male","88 years",0
"2011","Uri","Male","89 years",0
"2011","Uri","Male","90 years",0
"2011","Uri","Male","91 years",0
"2011","Uri","Male","92 years",0
"2011","Uri","Male","93 years",0
"2011","Uri","Male","94 years",0
"2011","Uri","Male","95 years",0
"2011","Uri","Male","96 years",0
"2011","Uri","Male","97 years",0
"2011","Uri","Male","98 years",0
"2011","Uri","Male","99 years",0
"2011","Uri","Male","100 years or older",0
"2011","Uri","Female","0 years",1
"2011","Uri","Female","1 year",1
"2011","Uri","Female","2 years",0
"2011","Uri","Female","3 years",2
"2011","Uri","Female","4 years",1
"2011","Uri","Female","5 years",0
"2011","Uri","Female","6 years",0
"2011","Uri","Female","7 years",0
"2011","Uri","Female","8 years",0
"2011","Uri","Female","9 years",0
"2011","Uri","Female","10 years",1
"2011","Uri","Female","11 years",1
"2011","Uri","Female","12 years",0
"2011","Uri","Female","13 years",2
"2011","Uri","Female","14 years",0
"2011","Uri","Female","15 years",3
"2011","Uri","Female","16 years",0
"2011","Uri","Female","17 years",0
"2011","Uri","Female","18 years",1
"2011","Uri","Female","19 years",0
"2011","Uri","Female","20 years",1
"2011","Uri","Female","21 years",3
"2011","Uri","Female","22 years",5
"2011","Uri","Female","23 years",0
"2011","Uri","Female","24 years",4
"2011","Uri","Female","25 years",3
"2011","Uri","Female","26 years",4
"2011","Uri","Female","27 years",2
"2011","Uri","Female","28 years",5
"2011","Uri","Female","29 years",1
"2011","Uri","Female","30 years",1
"2011","Uri","Female","31 years",3
"2011","Uri","Female","32 years",1
"2011","Uri","Female","33 years",1
"2011","Uri","Female","34 years",1
"2011","Uri","Female","35 years",0
"2011","Uri","Female","36 years",3
"2011","Uri","Female","37 years",0
"2011","Uri","Female","38 years",2
