Year,Canton,Age Group,marriages
1982,Schaffhausen,20-29,183
1982,Schaffhausen,30-39,40
1982,Schaffhausen,40-49,8
1982,Schaffhausen,50-59,1
1982,Schaffhausen,60-69,0
1982,Schaffhausen,70-79,0
1982,Schaffhausen,80-89,0
1982,Schwyz,10-19,0
1982,Schwyz,20-29,371
1982,Schwyz,30-39,44
1982,Schwyz,40-49,7
1982,Schwyz,50-59,2
1982,Schwyz,60-69,0
1982,Schwyz,70-79,1
1982,Schwyz,80-89,0
1982,Solothurn,10-19,0
1982,Solothurn,20-29,734
1982,Solothurn,30-39,93
1982,Solothurn,40-49,8
1982,Solothurn,50-59,10
1982,Solothurn,60-69,2
1982,Solothurn,70-79,1
1982,Solothurn,80-89,0
1982,St. Gallen,10-19,3
1982,St. Gallen,20-29,1253
1982,St. Gallen,30-39,148
1982,St. Gallen,40-49,30
1982,St. Gallen,50-59,8
1982,St. Gallen,60-69,2
1982,St. Gallen,70-79,2
1982,St. Gallen,80-89,0
1982,Thurgau,10-19,3
1982,Thurgau,20-29,629
1982,Thurgau,30-39,70
1982,Thurgau,40-49,10
1982,Thurgau,50-59,2
1982,Thurgau,60-69,4
1982,Thurgau,70-79,0
1982,Thurgau,80-89,0
1982,Ticino,10-19,4
1982,Ticino,20-29,619
1982,Ticino,30-39,98
1982,Ticino,40-49,14
1982,Ticino,50-59,8
1982,Ticino,60-69,0
1982,Ticino,70-79,0
1982,Ticino,80-89,0
1982,Uri,10-19,0
1982,Uri,20-29,138
1982,Uri,30-39,10
1982,Uri,40-49,0
1982,Uri,50-59,1
1982,Uri,60-69,0
1982,Uri,70-79,0
1982,Uri,80-89,0
1982,Valais / Wallis,10-19,6
1982,Valais / Wallis,20-29,905
1982,Valais / Wallis,30-39,62
1982,Valais / Wallis,40-49,5
1982,Valais / Wallis,50-59,4
1982,Valais / Wallis,60-69,2
1982,Valais / Wallis,70-79,0
1982,Valais / Wallis,80-89,0
1982,Vaud,10-19,7
1982,Vaud,20-29,1467
1982,Vaud,30-39,261
1982,Vaud,40-49,58
1982,Vaud,50-59,23
1982,Vaud,60-69,3
1982,Vaud,70-79,2
1982,Vaud,80-89,1
1982,Zug,10-19,0
1982,Zug,20-29,255
1982,Zug,30-39,55
1982,Zug,40-49,6
1982,Zug,50-59,0
1982,Zug,60-69,1
1982,Zug,70-79,0
1982,Zug,80-89,0
1982,Zürich,10-19,15
1982,Zürich,20-29,3300
1982,Zürich,30-39,916
1982,Zürich,40-49,134
1982,Zürich,50-59,53
1982,Zürich,60-69,16
1982,Zürich,70-79,5
1982,Zürich,80-89,0
1983,Aargau,10-19,2
1983,Aargau,20-29,1438
1983,Aargau,30-39,251
1983,Aargau,40-49,39
1983,Aargau,50-59,4
1983,Aargau,60-69,6
1983,Aargau,70-79,2
1983,Aargau,80-89,0
1983,Appenzell Ausserrhoden,10-19,0
1983,Appenzell Ausserrhoden,20-29,154
1983,Appenzell Ausserrhoden,30-39,26
1983,Appenzell Ausserrhoden,40-49,2
1983,Appenzell Ausserrhoden,50-59,2
1983,Appenzell Ausserrhoden,60-69,2
1983,Appenzell Ausserrhoden,70-79,0
1983,Appenzell Ausserrhoden,80-89,0
1983,Appenzell Innerrhoden,10-19,0
1983,Appenzell Innerrhoden,20-29,46
1983,Appenzell Innerrhoden,30-39,3
1983,Appenzell Innerrhoden,40-49,0
1983,Appenzell Innerrhoden,50-59,0
1983,Appenzell Innerrhoden,60-69,0
1983,Appenzell Innerrhoden,70-79,0
1983,Appenzell Innerrhoden,80-89,0
1983,Basel-Landschaft,10-19,3
1983,Basel-Landschaft,20-29,750
1983,Basel-Landschaft,30-39,137
1983,Basel-Landschaft,40-49,33
1983,Basel-Landschaft,50-59,10
1983,Basel-Landschaft,60-69,1
1983,Basel-Landschaft,70-79,3
1983,Basel-Landschaft,80-89,0
1983,Basel-Stadt,10-19,3
1983,Basel-Stadt,20-29,506
1983,Basel-Stadt,30-39,165
1983,Basel-Stadt,40-49,28
1983,Basel-Stadt,50-59,12
1983,Basel-Stadt,60-69,3
1983,Basel-Stadt,70-79,0
1983,Basel-Stadt,80-89,0
1983,Bern / Berne,10-19,5
1983,Bern / Berne,20-29,2833
1983,Bern / Berne,30-39,553
1983,Bern / Berne,40-49,65
1983,Bern / Berne,50-59,28
1983,Bern / Berne,60-69,7
1983,Bern / Berne,70-79,2
1983,Bern / Berne,80-89,0
1983,Fribourg / Freiburg,10-19,1
1983,Fribourg / Freiburg,20-29,682
1983,Fribourg / Freiburg,30-39,76
1983,Fribourg / Freiburg,40-49,10
1983,Fribourg / Freiburg,50-59,3
1983,Fribourg / Freiburg,60-69,0
1983,Fribourg / Freiburg,70-79,0
1983,Fribourg / Freiburg,80-89,0
1983,Genève,10-19,1
1983,Genève,20-29,820
1983,Genève,30-39,274
1983,Genève,40-49,45
1983,Genève,50-59,23
1983,Genève,60-69,8
1983,Genève,70-79,0
1983,Genève,80-89,0
1983,Glarus,10-19,0
1983,Glarus,20-29,119
1983,Glarus,30-39,17
1983,Glarus,40-49,4
1983,Glarus,50-59,1
1983,Glarus,60-69,0
1983,Glarus,70-79,0
1983,Glarus,80-89,0
1983,Graubünden / Grigioni / Grischun,10-19,1
1983,Graubünden / Grigioni / Grischun,20-29,572
1983,Graubünden / Grigioni / Grischun,30-39,88
1983,Graubünden / Grigioni / Grischun,40-49,10
1983,Graubünden / Grigioni / Grischun,50-59,1
1983,Graubünden / Grigioni / Grischun,60-69,1
1983,Graubünden / Grigioni / Grischun,70-79,0
1983,Graubünden / Grigioni / Grischun,80-89,0
1983,Jura,10-19,1
1983,Jura,20-29,217
1983,Jura,30-39,30
1983,Jura,40-49,6
1983,Jura,50-59,3
1983,Jura,60-69,1
1983,Jura,70-79,0
1983,Jura,80-89,0
1983,Luzern,10-19,2
1983,Luzern,20-29,990
1983,Luzern,30-39,146
1983,Luzern,40-49,30
1983,Luzern,50-59,4
1983,Luzern,60-69,4
1983,Luzern,70-79,1
1983,Luzern,80-89,0
1983,Neuchâtel,10-19,1
1983,Neuchâtel,20-29,448
1983,Neuchâtel,30-39,70
1983,Neuchâtel,40-49,19
1983,Neuchâtel,50-59,7
1983,Neuchâtel,60-69,1
1983,Neuchâtel,70-79,1
1983,Neuchâtel,80-89,0
1983,Nidwalden,10-19,0
1983,Nidwalden,20-29,128
1983,Nidwalden,30-39,19
1983,Nidwalden,40-49,2
1983,Nidwalden,50-59,0
1983,Nidwalden,60-69,0
1983,Nidwalden,70-79,0
1983,Nidwalden,80-89,0
1983,Obwalden,10-19,0
1983,Obwalden,20-29,95
1983,Obwalden,30-39,11
1983,Obwalden,40-49,4
1983,Obwalden,50-59,0
1983,Obwalden,60-69,0
1983,Obwalden,70-79,1
1983,Obwalden,80-89,0
1983,Schaffhausen,10-19,0
1983,Schaffhausen,20-29,244
1983,Schaffhausen,30-39,33
1983,Schaffhausen,40-49,7
1983,Schaffhausen,50-59,5
1983,Schaffhausen,60-69,1
1983,Schaffhausen,70-79,0
1983,Schaffhausen,80-89,0
1983,Schwyz,10-19,1
1983,Schwyz,20-29,368
1983,Schwyz,30-39,41
1983,Schwyz,40-49,5
1983,Schwyz,50-59,4
1983,Schwyz,60-69,1
1983,Schwyz,70-79,0
1983,Schwyz,80-89,0
1983,Solothurn,10-19,1
