"Year","Canton","Less than 20 years Less than 20 years","Less than 20 years 20-29 years","Less than 20 years 30-39 years","Less than 20 years 40-49 years","Less than 20 years 50-59 years","Less than 20 years 60-69 years","Less than 20 years 70-79 years","Less than 20 years 80-89 years","Less than 20 years 90 years or more","20-29 years Less than 20 years","20-29 years 20-29 years","20-29 years 30-39 years","20-29 years 40-49 years","20-29 years 50-59 years","20-29 years 60-69 years","20-29 years 70-79 years","20-29 years 80-89 years","20-29 years 90 years or more","30-39 years Less than 20 years","30-39 years 20-29 years","30-39 years 30-39 years","30-39 years 40-49 years","30-39 years 50-59 years","30-39 years 60-69 years","30-39 years 70-79 years","30-39 years 80-89 years","30-39 years 90 years or more","40-49 years Less than 20 years","40-49 years 20-29 years","40-49 years 30-39 years","40-49 years 40-49 years","40-49 years 50-59 years","40-49 years 60-69 years","40-49 years 70-79 years","40-49 years 80-89 years","40-49 years 90 years or more","50-59 years Less than 20 years","50-59 years 20-29 years","50-59 years 30-39 years","50-59 years 40-49 years","50-59 years 50-59 years","50-59 years 60-69 years","50-59 years 70-79 years","50-59 years 80-89 years","50-59 years 90 years or more","60-69 years Less than 20 years","60-69 years 20-29 years","60-69 years 30-39 years","60-69 years 40-49 years","60-69 years 50-59 years","60-69 years 60-69 years","60-69 years 70-79 years","60-69 years 80-89 years","60-69 years 90 years or more","70-79 years Less than 20 years","70-79 years 20-29 years","70-79 years 30-39 years","70-79 years 40-49 years","70-79 years 50-59 years","70-79 years 60-69 years","70-79 years 70-79 years","70-79 years 80-89 years","70-79 years 90 years or more","80-89 years Less than 20 years","80-89 years 20-29 years","80-89 years 30-39 years","80-89 years 40-49 years","80-89 years 50-59 years","80-89 years 60-69 years","80-89 years 70-79 years","80-89 years 80-89 years","80-89 years 90 years or more","90 years or more Less than 20 years","90 years or more 20-29 years","90 years or more 30-39 years","90 years or more 40-49 years","90 years or more 50-59 years","90 years or more 60-69 years","90 years or more 70-79 years","90 years or more 80-89 years","90 years or more 90 years or more"
"1969","Valais / Wallis",0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,6,13,2,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Neuchâtel",0,0,0,0,0,0,0,0,0,1,51,6,1,0,0,0,0,0,0,18,45,10,1,0,0,0,0,0,2,20,31,2,1,0,0,0,0,0,2,13,6,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Genève",0,0,0,0,0,0,0,0,0,0,141,16,2,0,0,0,0,0,1,62,116,10,3,0,0,0,0,0,7,64,79,11,1,0,0,0,0,3,6,29,20,2,2,0,0,0,0,1,7,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1969","Jura",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,1,6,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Zürich",0,1,0,0,0,0,0,0,0,4,352,49,3,0,0,0,0,0,0,176,329,48,1,0,0,0,0,0,18,121,220,30,2,0,0,0,0,3,16,65,100,14,0,0,0,0,0,4,10,20,27,2,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Bern / Berne",0,0,0,0,0,0,0,0,0,0,187,20,1,0,0,0,0,0,0,74,160,18,2,0,0,0,0,0,5,56,84,17,1,0,0,0,0,1,6,27,41,4,0,0,0,0,1,0,2,10,6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Luzern",0,0,0,0,0,0,0,0,0,0,48,7,0,0,0,0,0,0,0,21,36,6,0,0,0,0,0,0,2,20,14,3,0,0,0,0,0,0,4,10,7,3,0,0,0,0,0,0,2,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Uri",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Schwyz",0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,3,10,1,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Obwalden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Nidwalden",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Glarus",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Zug",0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,10,10,1,0,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Fribourg / Freiburg",0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Solothurn",0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,16,42,3,2,0,0,0,0,0,1,20,30,6,0,0,0,0,0,1,4,9,11,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Basel-Stadt",0,0,0,0,0,0,0,0,0,0,75,13,0,0,0,0,0,0,0,45,85,18,0,0,0,0,0,0,3,43,59,3,2,1,0,0,0,1,5,16,15,6,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
